node_id,tipo,etiqueta,grado,grado_ponderado,grado_centralidad,intermediacion,cercania,pagerank,es_articulacion,comunidad
v:-5puKGEqcUc,video,INSIVUMEH pronostica incremento de lluvias para el fin de semana en Guatemala,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:-E7OPOLjMug,video,BERNARDO ARÉVALO CALIFICA CAMBIO EN EL MP COMO EL FIN DE UNA ETAPA DE DETERIORO INSTITUCIONAL,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:-KDglrIzRKo,video,¡HISTÓRICO! Mexico recupera petróleo robado por Guatemala... 🔔,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:-O4Pa7qS9WQ,video,"Viaje completo Ciudad de Guatemala al IRTRA de Retalhuleu, menos tráfico, Diesel a Q42.59",0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:06mFNPU0aB8,video,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,13,14,0.020833333333333332,0.017193480676626745,0.06560900666873448,0.01566735645311586,True,5
v:0LTLUY7LBlA,video,"Qué debes saber ANTES de viajar a GUATEMALA | Dónde cambiar DINERO, adquirir INTERNET y TRANSPORTE",0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:0a4_g1R1-aA,video,Acciones relevantes en el #Resumen24Horas,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:0b2vfzXdCqs,video,Cadena Nacional del presidente Bernardo Arévalo,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:0eiVPMexNOo,video,CONRED se pronuncia tras sismos en el territorio nacional,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:0iQD8zHxZIg,video,SE FILTRO un AUDIO de PANDILLEROS en Guatemala | DISPUTA POLITICA  Guatemala en medio de EMERGENCIA,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:1-hr8eCOt_I,video,Este es el impacto ante el incremento del tráfico en la capital por el inicio de clases,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:1HQLJycvzaQ,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:1kSG-naIgqk,video,PRIMERA SEDE MIGRATORIA REGIONAL EN CHIQUIMULA,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:1w9faaYjhyU,video,Fundación de la República de Guatemala 21 marzo 1847,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:1y61Kb9uSbg,video,Departamento de Tránsito de PNC certifica a 43 PMT en Educación Vial,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:1yHN9Ci7pXs,video,Municipalidad de Guatemala informa,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:2iqOSL9YguA,video,Gabriel García Luna ya está en el MP para asumir como nuevo fiscal general,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:2n31FhKmELI,video,TRÁFICO EN GUATEMALA,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:2p23yPpu6aQ,video,#Conred,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:3-jKER3zqcA,video,VECINO VRS AGENTES DE LA PMT EN MAZATENANGO,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
v:3LAwISMokIg,video,MUNICIPALIDAD DE GUATEMALA 17/12/2025,0,0,0.0,0.0,0.0,0.00038255547054323006,False,-1
